date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-24 23:57:27,elperiodico,,16,65,259,"Messi dona un millón de euros para combatir el coronavirus ",,,,1242601453249867776,https://twitter.com/elperiodico/status/1242601453249867776
2020-03-24 23:57:27,Iraqigirlzz,,0,0,0,"Subhanallah. The Coronavirus has killed so many people and not even the most educated person on Earth can stop it. So what’s our last resort? God. What should’ve been our first? God.",,,,1242601453216202755,https://twitter.com/Iraqigirlzz/status/1242601453216202755
2020-03-24 23:57:27,webbnf,,0,0,0,"@GaryPeters Pt. 2 of 4 The coronavirus relief bill (CARES Act) being considered in the U.S. Senate is at a critical stage. Currently there is a paragraph in the proposed Act allowing non-public schools to receive relief under the Education Stabilization Fund.",,@GaryPeters,,1242601452712923137,https://twitter.com/webbnf/status/1242601452712923137
2020-03-24 23:57:27,rodrigocanete,,0,0,1,"EL CORONAVIRUS AFECTÓ LA ECONOMÍA DE TODOS, INCLUSIVE LA DE LOS PASTORES EVANGELICOS ",,,,1242601452465524736,https://twitter.com/rodrigocanete/status/1242601452465524736
2020-03-24 23:57:27,upelientocola,cgajardop,0,2,4,"El mismo Espacio Riesco se puede usar gratis con el decreto de estado de catástrofe, total igual no iban a poder hacer eventos en todo ese tiempo. ¿Cuántos respiradores, y cuantos test de coronavirus se pueden comprar con 780 millones?",,,,1242601452264185856,https://twitter.com/upelientocola/status/1242601452264185856
2020-03-24 23:57:27,steve_asbell,BenJKest,3,0,19,"My governor is Ron DeSantis and no, I don’t approve of his handling of the coronavirus. He isn’t nearly aggressive enough when it comes to getting Floridians and tourists to stay home, and he’s way too eager to get the economy started again, even if it puts people at risk.",,,,1242601452129878018,https://twitter.com/steve_asbell/status/1242601452129878018
2020-03-24 23:57:27,kimkillahh,BlackoutRayy,1,0,1,"The thing is that it has flu like symptoms but is not the flu. We have medications and vaccines to fight off the flu we don’t have none of that for the coronavirus therefore making it more lethal but from some peoples stories they don’t seem to care ",,,,1242601452024954880,https://twitter.com/kimkillahh/status/1242601452024954880
2020-03-24 23:57:27,Lolimoan,,0,0,1,"symptoms of coronavirus is dry cough, and im here sitting i had that type of shit every winter when i was sick as a kid",,,,1242601451983179779,https://twitter.com/Lolimoan/status/1242601451983179779
2020-03-24 23:57:27,Coronavirus218,hmad_hmida,1,0,2," ",,,,1242601451815305217,https://twitter.com/Coronavirus218/status/1242601451815305217
2020-03-24 23:57:27,jdjuninhorj,,0,0,0,"Caraca minha mãe já está ficando paranóica com o coronavirus mds, sei que é pra levar a sério porém limites né",,,,1242601451450445824,https://twitter.com/jdjuninhorj/status/1242601451450445824
2020-03-24 23:57:27,Rgmarcos25,,0,0,0,"“Coronavirus: Greta Thunberg dice que está contagiada y se pone en cuarentena: ""No quiero poner en riesgo a nadie""”. ",,,,1242601451437907971,https://twitter.com/Rgmarcos25/status/1242601451437907971
2020-03-24 23:57:27,luabdiniz,,0,0,3,"alguém derruba esse filho da puta AGORA ou eu vou me infectar com corona vírus e passar pra ele PRA ELE MORRER COM ESSA GRIPEZINHA",,,,1242601451404263424,https://twitter.com/luabdiniz/status/1242601451404263424
2020-03-24 23:57:27,agnesoliveiraa,acremilgrau,0,0,1,"va embora coronavirus ",,,,1242601451387523075,https://twitter.com/agnesoliveiraa/status/1242601451387523075
2020-03-24 23:57:27,PlacatetheMuse,,0,0,0,"Coronavirus Is Advancing. All Americans Need to Shelter in Place. ",,,,1242601451337191431,https://twitter.com/PlacatetheMuse/status/1242601451337191431
2020-03-24 23:57:27,DeroneArcher,,3,1,2,"So we live and we learn... I gather that at least one church is saying that we should give them money: like $19 USD, $119 USD something with 19 so that the LORD can neutralize the #Coronavirus I gather that the church is NOT accepting $19 JMD..... FASCINATING!!! ",,,#Coronavirus,1242601451135873029,https://twitter.com/DeroneArcher/status/1242601451135873029
2020-03-24 23:57:26,JanGeraldi,,0,0,3,"Agora que saiu o idioma português brasileiro pro Black Desert Mobile cabô pro corona vírus",,,,1242601450573901830,https://twitter.com/JanGeraldi/status/1242601450573901830
2020-03-24 23:57:26,renaccampbell,,0,0,0,"Matt Hancock: 3.5m coronavirus test kits on way to NHS ",,,,1242601450267541505,https://twitter.com/renaccampbell/status/1242601450267541505
2020-03-24 23:57:26,anaextranjera,,0,0,0,"Nosso maior medo nao é nem o corona vírus, é o bonossalro mesmo idiota, @jairbolsonaro eu nao te quero nem no infernoooooo seu escroto, eu te odeio",,@jairbolsonaro,,1242601450133487616,https://twitter.com/anaextranjera/status/1242601450133487616
2020-03-24 23:57:26,JenniePalmer,,0,0,0,"Also paging @AdamSchiff @SenToomey @RepConorLamb @billpeduto @SenBobCasey @GovernorTomWolf @TomWolfPA @JohnFetterman ... see above please. #savetheworkers #COVID19 #coronavirus",,@AdamSchiff @SenToomey @RepConorLamb @billpeduto @SenBobCasey @GovernorTomWolf @TomWolfPA @JohnFetterman,#savetheworkers #COVID19 #coronavirus,1242601449177128963,https://twitter.com/JenniePalmer/status/1242601449177128963
2020-03-24 23:57:26,KMomoL,,0,0,30,"I am surely gonna miss #Iykeresa,I mean I already miss them their content is die for,they're effortless,they don't force anything Coronavirus is doing us bad maan!! #UltimateLoveNG",,,#Iykeresa #UltimateLoveNG,1242601449097506816,https://twitter.com/KMomoL/status/1242601449097506816
2020-03-24 23:57:26,darringuist,,0,0,1,"Turns out even people who already worked at home aren't immune to work delays and stoppages. So anyway, cheers! #coronavirus #covid19 #nowork https://www.instagram.com/p/B-Irk_klAfB/?igshid=1q4nikq9vt6ry",,,#coronavirus #covid19 #nowork,1242601449005158403,https://twitter.com/darringuist/status/1242601449005158403
2020-03-24 23:57:26,AntifaPresident,,1,0,4,"Saving Private Ryan, but private Ryan is an Amazon warehouse picker, and Tom Hanks has to find him in the depths of the labyrinth after President Trump orders him to be taken off the line because his brothers have all died of coronavirus",,,,1242601448954880001,https://twitter.com/AntifaPresident/status/1242601448954880001
2020-03-24 23:57:26,ScreenwriterBe3,WhiteHouse,0,0,0,"The Democrats should stop pushing for unrealistic and partisan demands that have nothing to do with the impact of the coronavirus to be included in the Stimulus Bill for them to vote for it. The Stimulus Package IS FOR THE PEOPLE &amp; BUSINESSES affected by the virus! ",,,,1242601448715759624,https://twitter.com/ScreenwriterBe3/status/1242601448715759624
2020-03-24 23:57:26,Nepal_News_En,,0,0,0,"SetoPati: WHO endorses quality of coronavirus tests in Nepal - ",,,,1242601448137011201,https://twitter.com/Nepal_News_En/status/1242601448137011201
2020-03-24 23:57:26,casperkeilstrup,PeterAttiaMD,0,1,0,"I am more curious whether the actual number of coronavirus deaths is understated in the US. This is even the case in Lombardy, Italy ",,,,1242601448128512002,https://twitter.com/casperkeilstrup/status/1242601448128512002
2020-03-24 23:57:26,seigicmoi,LocoFocoParty,0,0,0,"The coronavirus was made in Fort Detrick, Maryland though. ",,,,1242601447885139968,https://twitter.com/seigicmoi/status/1242601447885139968
2020-03-24 23:57:26,ELEchoqueM,,0,0,1,"#ULTIMO》Jóvenes aprovechan las vías vacías para convertirlo en campo deportivo en la avenida Versalles de la zona Andino del Distrito 8 de #ElAlto|#Bolivia. Luego se retiran a sus hogares y cumplir la #CuarentenaTotalBolivia contra el #Coronavirus . En el pais hay 29 casos (+). ",,,#ULTIMO #ElAlto #Bolivia #CuarentenaTotalBolivia #Coronavirus,1242601447830757381,https://twitter.com/ELEchoqueM/status/1242601447830757381
2020-03-24 23:57:26,gibanetto,,0,0,0,"Pelo meu histórico de atleta, ouvir pagode dos anos 90 cai só umas lagriminhas #meuhistoricodeatleta #chupacorona #coronavirus #ForaBolsonaro",,,#meuhistoricodeatleta #chupacorona #coronavirus #ForaBolsonaro,1242601447684014081,https://twitter.com/gibanetto/status/1242601447684014081
2020-03-24 23:57:26,jimbriggs3,,0,0,4,"This piece: What I Learned When My Husband Got Sick With Coronavirus ",,,,1242601447478267904,https://twitter.com/jimbriggs3/status/1242601447478267904
